You are now connected to database "nc_news" as user "yewenjin".
 article_id |                                         title                                         |  topic   |    author    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               body                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |     created_at      | votes |                                      article_img_url                                       
            |                                                                                       |          |              |     A testament to ten Hag's command,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           +|                     |       | 
            |                                                                                       |          |              |     That Ajax's spirit forever will stand.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      +|                     |       | 
            |                                                                                       |          |              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 +|                     |       | 
            |                                                                                       |          |              |     So let us sing a song of praise,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +|                     |       | 
            |                                                                                       |          |              |     For Eric ten Hag's guiding ways,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            +|                     |       | 
            |                                                                                       |          |              |     A mastermind, a football sage,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              +|                     |       | 
            |                                                                                       |          |              |     Whose brilliance sets the pitch ablaze.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                     |       | 
(37 rows)

 comment_id | article_id |                                                                                                                                                                                       body                                                                                                                                                                                       | votes |    author    |     created_at      
------------+------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+--------------+---------------------
          1 |         18 | Itaque quisquam est similique et est perspiciatis reprehenderit voluptatem autem. Voluptatem accusantium eius error adipisci quibusdam doloribus.                                                                                                                                                                                                                                |    -1 | tickle122    | 2020-05-21 23:19:00
          2 |          4 | Nobis consequatur animi. Ullam nobis quaerat voluptates veniam.                                                                                                                                                                                                                                                                                                                  |     7 | grumpy19     | 2020-01-01 15:02:00
          3 |          3 | Qui sunt sit voluptas repellendus sed. Voluptatem et repellat fugiat. Rerum doloribus eveniet quidem vero aut sint officiis. Dolor facere et et architecto vero qui et perferendis dolorem. Magni quis ratione adipisci error assumenda ut. Id rerum eos facere sit nihil ipsam officia aspernatur odio.                                                                         |     3 | grumpy19     | 2020-09-23 00:18:00
          4 |         18 | Rerum voluptatem quam odio facilis quis illo unde. Ex blanditiis optio tenetur sunt. Cumque dolor ducimus et qui officia quasi non illum reiciendis.                                                                                                                                                                                                                             |     4 | happyamy2016 | 2020-10-10 23:03:00
          5 |         17 | Quod qui quia dignissimos sit tempore vel reprehenderit. Ipsa ipsa veritatis architecto corporis et et non. Sed alias occaecati eum dignissimos sint eius. Ad ea iste quas quia velit libero voluptatem voluptatem. Animi illo nisi nulla quia sapiente omnis dolorem nulla. Sunt dolor similique.                                                                               |    -5 | weegembump   | 2020-04-03 21:17:00
          6 |         35 | Veritatis animi et voluptates nesciunt officia facere eaque. Eligendi earum explicabo necessitatibus aut dolorem nisi esse nesciunt. Non iusto rem ut consequuntur quam ut rem sed. Velit laboriosam consectetur enim delectus eos sit veritatis eveniet perspiciatis.                                                                                                           |    -5 | grumpy19     | 2020-07-16 09:16:00
          7 |         17 | Facilis corporis animi et non non minus nisi. Magnam et sequi dolorum fugiat ab assumenda.                                                                                                                                                                                                                                                                                       |    12 | tickle122    | 2020-04-08 23:10:00
          8 |         26 | Est debitis iusto sed consectetur. Eum eum rerum qui est nihil maxime quae. Ut autem velit sint iste consequatur culpa voluptatibus. Quo qui nobis cupiditate adipisci nostrum et. Est et qui at sit atque et fuga voluptatibus impedit.                                                                                                                                         |     6 | tickle122    | 2020-11-21 19:16:00
          9 |         19 | Ea iure voluptas. Esse vero et dignissimos blanditiis commodi rerum dicta omnis modi.                                                                                                                                                                                                                                                                                            |    -1 | cooljmessy   | 2020-01-04 05:14:00
         10 |         27 | Incidunt quidem ut. Voluptatem blanditiis ipsa commodi suscipit quae et. Magni assumenda veritatis voluptatem dolor qui.                                                                                                                                                                                                                                                         |     7 | weegembump   | 2020-11-24 08:26:00
         11 |         23 | Iure cum non veritatis dolore corrupti deserunt perferendis molestiae. Voluptatem ullam qui aut voluptatem. Magnam quo ut rem nobis quibusdam. Assumenda ex laboriosam ut ea explicabo.                                                                                                                                                                                          |     2 | happyamy2016 | 2020-11-11 18:16:00
         12 |         11 | Maiores sed dolor. Consequatur quasi itaque culpa. Tempora ut autem est ad est voluptatem officiis. Ut sequi quaerat qui nam sunt.                                                                                                                                                                                                                                               |    15 | happyamy2016 | 2020-06-19 06:00:00
         13 |         16 | Dolorem ex dolorem blanditiis id. Error dolorem aut est. Facere nostrum et dolor repellendus neque amet deleniti. Aut debitis ut nam dolores.                                                                                                                                                                                                                                    |     4 | happyamy2016 | 2020-09-10 02:18:00
         14 |          4 | Iure quas est omnis porro. Est in est distinctio sequi consectetur rerum deserunt. Et et reiciendis. Consequatur distinctio sint porro neque molestiae.                                                                                                                                                                                                                          |    -4 | weegembump   | 2020-08-14 14:09:00
         15 |         13 | Voluptas enim dolores minima repellendus corporis mollitia omnis. Consectetur vitae quaerat possimus repellendus. Cumque maxime nisi itaque aliquid vel non non.                                                                                                                                                                                                                 |    12 | jessjelly    | 2020-01-03 13:22:00
         16 |         30 | Saepe iure voluptas aut cum occaecati illo. Unde neque et qui facilis cupiditate animi distinctio.                                                                                                                                                                                                                                                                               |     1 | happyamy2016 | 2020-04-03 23:01:00
         17 |         17 | Aut rerum culpa consequuntur quos ut pariatur beatae et. Est reprehenderit commodi quia molestiae laboriosam tenetur maxime voluptate et. Sapiente alias illum eaque libero.                                                                                                                                                                                                     |     2 | weegembump   | 2020-07-10 09:00:00
         18 |          5 | Dicta aut quo unde cupiditate dolorum. Voluptas mollitia exercitationem vel porro dolor. Ea autem est pariatur.                                                                                                                                                                                                                                                                  |     6 | jessjelly    | 2020-08-15 18:11:00
         19 |         28 | Id adipisci saepe dolorum et veritatis qui et voluptatibus. Error consequuntur architecto consequatur assumenda rerum similique quo. Quas omnis quam labore exercitationem pariatur veniam assumenda. Tempore maiores rerum. Eum voluptates non repudiandae magnam illo voluptatum. Qui praesentium asperiores rerum vel.                                                        |    -3 | tickle122    | 2020-06-19 16:03:00
         20 |         13 | Libero explicabo aperiam esse quae. Dolores in ipsum vitae incidunt. Magnam ullam nihil voluptas enim veritatis et nobis architecto.                                                                                                                                                                                                                                             |     0 | happyamy2016 | 2020-04-07 05:19:00
         21 |          6 | Exercitationem voluptas inventore corrupti in tenetur cumque. Ut officiis aliquam et quis. Ipsum nostrum sequi voluptatem ex.                                                                                                                                                                                                                                                    |     3 | tickle122    | 2020-02-05 12:15:00
         22 |         27 | Voluptatibus tempora ab quam pariatur placeat ullam voluptatem aut. Sequi voluptatem vitae quibusdam et qui est quia. Explicabo delectus ullam quis. Officiis eum ipsam non voluptate quam dolores consequatur. Odio aliquam ut eum tempore enim nesciunt.                                                                                                                       |     2 | cooljmessy   | 2020-06-09 19:02:00
         23 |         10 | Necessitatibus ea eum error ratione sint cumque occaecati non. Dolor rem accusantium sed debitis. Dolor tempora molestias cupiditate veritatis sit sit ipsam. Aut neque et dolore laboriosam.                                                                                                                                                                                    |     2 | cooljmessy   | 2020-02-08 05:12:00
         24 |         31 | Quisquam perferendis est doloribus quidem a a. Quam quia ratione rerum facilis rerum est quo aut. Doloribus odio non aut tenetur et qui. Maiores vitae qui illo nisi illum. Accusamus consequatur ducimus vero non nobis alias ratione et aut.                                                                                                                                   |    16 | weegembump   | 2020-01-08 11:14:00
         25 |         20 | Ea et molestiae error. Esse harum facilis vitae numquam. Minus id eaque. Dolores nulla ipsam animi sapiente perspiciatis qui possimus.                                                                                                                                                                                                                                           |    20 | grumpy19     | 2020-08-20 07:19:00
         26 |         16 | Aut iste eum et modi unde. Sunt et adipisci et ut dolorem facilis voluptas. Deleniti sed nemo facilis. Ex ut et. Et pariatur sed necessitatibus et. Accusamus accusantium ipsam ea sunt facilis et.                                                                                                                                                                              |     3 | grumpy19     | 2020-08-14 02:21:00
         27 |         31 | Dolorem aspernatur labore reiciendis. Similique consequuntur voluptatem illum voluptate illo voluptas et nihil rem. Deserunt et totam tenetur quod. Maxime atque dolorem velit ut sit assumenda. Suscipit tenetur nemo ut ea eos et molestiae quisquam. Architecto asperiores esse.                                                                                              |    12 | happyamy2016 | 2020-05-19 01:14:00
         28 |          3 | Dolorem excepturi quaerat. Earum dolor sapiente aut.                                                                                                                                                                                                                                                                                                                             |     2 | grumpy19     | 2020-03-04 13:05:00
         29 |         36 | Perferendis quia et nihil. Quasi ut voluptates sapiente et accusantium vel qui reprehenderit ratione. Autem alias voluptatem accusamus nesciunt beatae vero. Itaque repellat omnis et velit cum corporis aut id voluptas. Nostrum unde fuga ea. Perferendis quas maiores.                                                                                                        |    -2 | jessjelly    | 2020-09-13 07:23:00
         30 |         15 | Et et esse magni qui minus quia adipisci dignissimos. Rerum ab sit voluptatum sequi aspernatur et.                                                                                                                                                                                                                                                                               |    14 | jessjelly    | 2020-08-25 23:10:00
         31 |          1 | Sit sequi odio suscipit. Iure quisquam qui alias distinctio eos officia enim aut sit. Corrupti ut praesentium ut iste earum itaque qui. Dolores in ab rerum consequuntur. Id ab aliquid autem dolore.                                                                                                                                                                            |    11 | weegembump   | 2020-09-26 17:16:00
         32 |         26 | Occaecati distinctio et maiores atque. Rerum aut vel iste beatae mollitia commodi. Cumque quia illum. Hic rerum sed.                                                                                                                                                                                                                                                             |    16 | happyamy2016 | 2020-01-02 14:18:00
         33 |          1 | Explicabo perspiciatis voluptatem sunt tenetur maxime aut. Optio totam modi. Perspiciatis et quia.                                                                                                                                                                                                                                                                               |     4 | cooljmessy   | 2019-12-31 21:21:00
         34 |         27 | Omnis dolores sit. Suscipit dolore quia quia quia qui sunt error. Velit dolores eum cupiditate officiis minima quaerat. Fugiat occaecati magnam distinctio. Ut quia maxime adipisci dolorem qui nesciunt et voluptas.                                                                                                                                                            |    13 | jessjelly    | 2020-11-08 21:14:00
         35 |         19 | Accusamus error recusandae iure. Omnis ab aut id. Nihil perspiciatis aut unde recusandae voluptatum placeat.                                                                                                                                                                                                                                                                     |    -2 | happyamy2016 | 2020-06-07 08:10:00
         36 |         28 | Debitis exercitationem numquam unde quo illo. Iste rerum rerum non accusantium voluptatibus adipisci expedita expedita adipisci. Minima quae velit et ea eveniet. Vero quis itaque. Aliquid facilis dolores consequatur ea amet magni aliquid.                                                                                                                                   |    17 | jessjelly    | 2020-05-26 19:06:00
         37 |         23 | Ut odit ad repudiandae laudantium facilis pariatur aliquid. Pariatur quidem voluptatibus recusandae in consequatur beatae sint. Aut error ratione culpa ipsam autem saepe vel sit enim. Adipisci voluptas sit sed perferendis ipsum molestiae. Sit perferendis veritatis illo et facilis eos libero error. Repellendus ea dolores deserunt inventore.                            |    12 | tickle122    | 2020-09-18 15:13:00
         38 |          8 | Ipsam quod dolor harum alias porro dignissimos vero et. Quia accusantium qui ratione eius qui.                                                                                                                                                                                                                                                                                   |     7 | jessjelly    | 2020-06-16 07:07:00
         39 |         31 | Et veniam blanditiis fuga rem rem officiis debitis rerum. Est repudiandae tempora autem harum omnis et. Et consectetur sed assumenda asperiores amet quo eaque.                                                                                                                                                                                                                  |    16 | grumpy19     | 2020-07-21 01:04:00
         40 |          7 | Et optio voluptatem sed reprehenderit quibusdam. Reprehenderit doloremque laboriosam. Vel est amet quia dolor rerum consequatur. Distinctio tenetur dolores. Voluptates laboriosam repudiandae et quisquam ex. Dolorem quidem et.                                                                                                                                                |     5 | tickle122    | 2020-02-19 05:15:00
         41 |         29 | Incidunt temporibus ipsam fuga voluptatem occaecati vel corporis. Consectetur laudantium tenetur ratione cumque. Molestiae esse non minima beatae id consequuntur voluptas optio. Pariatur nesciunt sed eum architecto a nemo dignissimos dignissimos. Dolores dicta eum voluptatem ea quas soluta sunt mollitia optio.                                                          |     1 | happyamy2016 | 2020-10-19 03:15:00
         42 |         31 | Harum odit sed doloremque eos voluptates vero ipsa odio eos. Velit et voluptatum accusantium. Eligendi deserunt sunt optio est hic nisi reprehenderit. Quasi et delectus facere modi.                                                                                                                                                                                            |    16 | jessjelly    | 2020-02-12 08:26:00
         43 |          8 | Ipsam quis ad consequatur iure voluptas accusantium voluptatem unde. Cumque omnis mollitia natus nemo deleniti rerum enim cumque aut. Quod quis est fuga.                                                                                                                                                                                                                        |    -2 | grumpy19     | 2020-01-18 08:17:00
         44 |          1 | Error est qui id corrupti et quod enim accusantium minus. Deleniti quae ea magni officiis et qui suscipit non.                                                                                                                                                                                                                                                                   |     4 | grumpy19     | 2020-06-15 16:13:00
         45 |          9 | Sint doloribus expedita non sed fuga aliquid vero. Amet consectetur eos eum. Tempora error velit rerum vitae voluptatem voluptatibus consequuntur voluptatibus ea. Et vitae et pariatur est molestias. Nobis est harum debitis rem accusantium est ipsa sed. Voluptatem beatae at beatae.                                                                                        |    10 | cooljmessy   | 2020-09-09 18:11:00
         46 |         26 | Non sunt quos aut facere. Corporis molestiae aut soluta aut rerum animi voluptatibus.                                                                                                                                                                                                                                                                                            |    -3 | weegembump   | 2020-10-05 07:05:00
         47 |         10 | Ea quod sunt nihil mollitia qui laboriosam eaque quas accusantium. Eveniet exercitationem esse dolor autem repellat laborum voluptatibus alias repellendus. Magni nostrum ut ea molestiae. Et ut at quasi aut.                                                                                                                                                                   |     0 | happyamy2016 | 2020-01-13 09:01:00
         48 |         34 | Eaque fugiat est veniam ex praesentium et saepe molestias non. Est dolore et sint consequuntur.                                                                                                                                                                                                                                                                                  |    12 | jessjelly    | 2020-03-08 20:02:00
         49 |         31 | Omnis dolor rerum culpa est ducimus totam voluptatibus id. Consequuntur vel cupiditate asperiores. Eos non molestiae accusamus esse excepturi animi vel animi.                                                                                                                                                                                                                   |    13 | cooljmessy   | 2020-11-05 18:26:00
         50 |         34 | Et sed quia repudiandae aut error ut. Sequi voluptas error ut quibusdam officia quis. Sapiente est rem. Culpa molestiae omnis vel. Explicabo ea velit ipsa quasi autem error culpa quasi. Nulla ab omnis optio non voluptatem cumque.                                                                                                                                            |     0 | cooljmessy   | 2020-03-22 11:15:00
         51 |          3 | Eius dolor ipsa eaque qui sed accusantium est tenetur omnis. Eligendi necessitatibus sunt voluptate occaecati et quis consequuntur aut. Maxime nihil ut quia culpa.                                                                                                                                                                                                              |    -3 | grumpy19     | 2020-01-14 03:12:00
         52 |          1 | Consectetur deleniti sed. Omnis et dolore omnis aspernatur. Et porro accusantium. Tempora ullam voluptatum et rerum.                                                                                                                                                                                                                                                             |    10 | jessjelly    | 2020-07-07 09:14:00
         53 |         29 | Tempore itaque aperiam nostrum molestiae et veniam. Dolores dignissimos beatae quia quam impedit modi recusandae. Modi quaerat rerum itaque sint modi. Aperiam blanditiis officia qui odio veniam et. Sit accusantium ut.                                                                                                                                                        |    10 | happyamy2016 | 2020-02-05 15:13:00
         54 |         34 | Possimus exercitationem unde temporibus id eos officiis. Qui veniam blanditiis porro omnis rerum. Vel iste nisi voluptatem autem illum aperiam velit.                                                                                                                                                                                                                            |     8 | grumpy19     | 2020-09-16 23:12:00
         55 |          6 | Ut et libero reiciendis. Tenetur quibusdam veniam in atque corrupti excepturi tenetur qui et. Qui ut autem minus aut explicabo in cumque dolorum. Voluptatem est perferendis velit. Eaque doloremque asperiores error.                                                                                                                                                           |    -3 | jessjelly    | 2020-01-16 23:20:00
         56 |         10 | Ullam ad aliquam labore sint quia quo autem. Earum accusamus mollitia eum consectetur est doloremque corrupti aliquam. Soluta maxime rerum ipsum molestiae id temporibus tempore.                                                                                                                                                                                                |     4 | weegembump   | 2020-08-07 15:20:00
         57 |         34 | Et aliquam consequatur ea sunt et. Maxime aut nobis voluptatem eos facilis vero incidunt delectus. Atque quaerat id aut tempore non hic hic sed. Nemo natus culpa nesciunt. Beatae quod est omnis hic aliquam accusantium dolorum natus. Totam voluptatem incidunt a repudiandae ut.                                                                                             |     5 | happyamy2016 | 2020-04-22 18:05:00
         58 |         16 | Dicta et doloremque rerum quod dolorem mollitia exercitationem quia. Quas quis quam recusandae occaecati sit voluptas. Et ut voluptatibus est eos. Placeat consectetur non nisi dolores ea non unde sit aperiam.                                                                                                                                                                 |    12 | jessjelly    | 2020-04-01 11:07:00
         59 |         32 | Incidunt maiores exercitationem. Non illo non recusandae omnis praesentium architecto. Molestiae vero quia occaecati. Et sed magni blanditiis quis quia consequatur dolores nulla nisi. A omnis velit voluptatem.                                                                                                                                                                |     6 | cooljmessy   | 2020-11-14 01:07:00
         60 |          7 | Aut optio perferendis praesentium fugiat. Vel similique non eveniet. Repellat molestiae ipsum voluptates.                                                                                                                                                                                                                                                                        |    19 | tickle122    | 2020-10-07 04:19:00
         61 |         31 | Quos deserunt ut doloremque animi. Error ipsum assumenda aliquam tempore est et suscipit eveniet necessitatibus. Sequi illo dolor quia incidunt voluptates sint dolore. Aut impedit dolores.                                                                                                                                                                                     |    13 | cooljmessy   | 2020-03-07 16:04:00
         62 |         19 | Nesciunt pariatur autem dolor. Quas et nostrum occaecati qui dolores. Et cumque nostrum aut. Aut doloribus aut modi repellendus maiores quia laudantium doloremque. Qui vitae laudantium sunt ut iusto. Et aut ipsam iste.                                                                                                                                                       |     1 | grumpy19     | 2020-01-06 02:15:00
         63 |          2 | Est pariatur quis ipsa culpa unde temporibus et accusantium rerum. Consequatur in occaecati aut non similique aut quibusdam. Qui sunt magnam iure blanditiis. Et est non enim. Est ab vero dolor.                                                                                                                                                                                |    -1 | jessjelly    | 2020-08-12 23:10:00
         64 |          6 | Ad qui ut enim qui numquam quis. Reprehenderit rem non nulla dolor aut totam corporis illo. Et ea maxime consequuntur nihil delectus dolores qui in aliquam. Ut et eius id nesciunt necessitatibus beatae quo. Est qui provident officia in dolor. Assumenda voluptas dolor.                                                                                                     |    -5 | grumpy19     | 2020-09-23 09:15:00
         65 |          6 | Officia nihil harum saepe occaecati dolores inventore. Eos cum illo aut blanditiis eum.                                                                                                                                                                                                                                                                                          |     4 | weegembump   | 2020-10-19 00:05:00
         66 |         27 | Aperiam similique recusandae et rerum aut unde sed. Fuga voluptatem illum aut impedit excepturi. Et quaerat minima in veniam in maxime nam quia. Fugit nostrum ipsa ipsa est sunt quidem nostrum sit pariatur. Voluptas aspernatur ex.                                                                                                                                           |    15 | weegembump   | 2020-01-06 17:03:00
